NM	Never mind
U need to hav ur ID n hope u don't hav any criminal record	you need to have your ID and hope you don't have any criminal record
RTBS	Reason to be single
my sis used my laptop occasionally and she signed in her youtube acc	my sister used my laptop occasionally and she signed in her youtube account
cry and no1 will notice, but is you fart 1c…	Cry and no one will notice,  but is you fart once…
ESAD	Eat Shit And Die
cntrl	control
I try to keep my sources strictly dotgov	I try to keep my sources strictly A government official
LYF	life
BAK	Back At Keyboard
if you can see them, they can CU2 u kno	if you can see them, they can see you too you know
M8	Might
IMNSHO	In My Not So Humble Opinion
got to go BBFN	got to go Bye Bye for now
BTW , what happened to you ppl?	By The Way , what happened to you people?
pmf, but that's fucked up	Pardon my french, but that's fucked up
g2g CWYL	got to go Chat with you later
OBTW	Oh, By The Way
idk y but i like ppl call me by my rl name	I do not know why but i like people call me by my real life name
USBCA	Until something better comes along
Her dress was not beau BSF she is pretty as hell	Her dress was not beautiful but seriously folks she is pretty as hell
pls note I'm not rly related to this fs	please note I'm not really related to this for sure
UOK	Are You okay
Lmmfao Don't Entertain Me Right Now, I'm Drunk Asl	Laughing out loud Don't Entertain Me Right Now, I'm Drunk As Hell
SWALK	Sealed with a loving kiss
NIGI	Now I get it
QL	Quit laughing
BIF	Before I Forget
W	With
PTO	Parent Teacher Organization
TBD	To Be Decided
TTG	Time to go
LTS	Laughing to self
ROTFLTIC	Rolling On The Floor Laughing Till I Cry
Omg I thought my dream was real , I was scared asl	Oh my god I thought my dream was real , I was scared as hell
hi i'm bak and i just yelled at a guy bc i made a driving mistake and he was rude to me abt it	hi i'm back and i just yelled at a guy because i made a driving mistake and he was rude to me about it
when you drive straight home and forget to puks	when you drive straight home and forget to Pick up kids
DIIK	Damned If I Know
BABE SEE U ASAP HA I LUV U	BABE SEE you as soon as possible HA I LOVE you
TSR	Totally Stupid Rules
LTNS	Long time no see
pls CMIIW and do not lie 2 me	please Correct Me If I am Wrong and do not lie to me
TSNF	That's so not fair
Correct Me If I am Wrong but r you going out tn	Correct Me If I am Wrong but are you going out tonight 
my PROGGY works great	my computer program works great
frl	for real
Lmao not till the bday	Laughing out loud not untill the birthday
im kinda sot, plz call me back asasp	im kind of sort of time, please call me back as soon as possible
tbh it's just bc of the haircut and hair color mayb?	to be honest it's just because of the haircut and hair color maybe?
idk if that was a sarcastic thank you but ILY	I do not know if that was a sarcastic thank you but I love you
Q	Queue
When u bumped into ur fave	When you bumped into your favorite
AFAIC	As Far As I am Concerned
JTLYK	Just To Let You Know
aint	are not
Ima crying lyk a baby	I am crying like a baby
cant w8 to take a 3rd pic w you at firefly	cant wait to take a 3rd picture with you at firefly
NHOH	Never Heard Of Him
Oh my God my mom is calling me for dinner so BCNU	Oh my God my mom is calling me for dinner so be seeing you
wut u say?	what you say?
as ur grandma , though idk y im ur grandma , i should tell u the truth	as your grandma , though I do not know why im your grandma , i should tell you the truth
YCHT	You can have them
I got so used to talking to oomf now I just stay up bored asl	I got so used to talking to one of my followers now I just stay up bored as hell
IMA	I will
Y are u so qt	why are you so cutie
YKWIM	You know what I mean
YKW	You know who
U can miss a mf all u want	you can miss a motherfucker all you want
I have 2 crushes here on tw and 1 irl	I have two crushes here on twitter and one in real life
FYA	For Your Amusement
S2R	Send to receive
AWHFY? I will keep ask you that till u say yes	Are We Having Fun Yet? I will keep ask you that untill you say yes
Its Dry Asl	it is dry as hell
BRB	Be Right Back
IMA	I am
gal if you're stalking me rn so pls deal w ur fucking attitude	girl if you're stalking me right now so please deal with your fucking attitude
TF	the fuck
Xlnt work restoring my 1964 LG-1! Thx to Randy Anderson	excellent work restoring my 1964 LG-1! Thanks to Randy Anderson
CULA	See You Later, Alligator
Me 2 bro smh	Me too brother shaking my head
really? You would come with me? Ytg	really? You would come with me? You're the greatest
I will cya there	I will see you there
GA	Go Ahead
PXT	Please explain that
THNX	Thank you
PDS	Please don't shoot
Just got one pl8 bench	just got one plate bench
oomf	one of my friends
TANKING	Owning
TG	Thank goodness
niggas	black men (offensive)
USU	Usually
NFWS	Not for work safe
bye bye CULA	bye bye See you later alligator
THT	Think happy thoughts
well u know what they say, BOHICA	well you know what they say, Bend Over, Here It Comes Again
4	for
